rank,domain,competitor_consensus,links_to_sigma,links_to_hex,links_to_mode,links_to_metabase,harmonic_pos,pagerank_pos,opportunity_score,category,opportunity_type,rationale,suggested_action
1,hightouch.com,4,True,True,True,True,3568,10333,0.6407007892448259,data_platform_vendor,integrations_page,Hightouch is a reverse-ETL partner platform with integration directories; strong opportunity for Omni listing on their destinations page.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
2,rudderstack.com,4,True,True,True,True,8406,4430,0.6273851036890161,data_platform_vendor,integrations_page,RudderStack is a reverse-ETL/CDP partner platform with high authority; their integrations directory is a strong outreach target for Omni.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
3,fivetran.com,4,True,True,True,True,9656,13364,0.6254627445291213,data_platform_vendor,integrations_page,"Fivetran is a complementary ELT partner, not a competitor; their integrations directory is a strong outreach target for BI platform listings.",Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
4,atlan.com,4,True,True,True,True,11731,36264,0.6228590252074869,data_platform_vendor,integrations_page,Atlan is a data-catalog partner; their integrations directory lists BI tools and is an open outreach target.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
5,airbyte.com,4,True,True,True,True,14127,21307,0.6204715567645185,data_platform_vendor,integrations_page,"Airbyte is a complementary ELT partner, not a competitor; their integrations directory is a strong outreach target for BI platform listings.",Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
6,montecarlodata.com,4,True,True,True,True,27250,50239,0.6127262058073819,data_platform_vendor,not_applicable,"Monte Carlo Data is a data-observability platform (complementary partner, not competitor), but their vendor directory is curated and closed to non-portfolio companies.",Review manually.
7,castordoc.com,4,True,True,True,True,55318,278205,0.6054197345730492,data_platform_vendor,integrations_page,Castor is a data-catalog partner (not competitor); likely maintains integrations directory listing BI tools including Omni.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
8,getcollate.io,4,True,True,True,True,2312955,539137,0.5785648519397749,data_platform_vendor,integrations_page,Collate is a data catalog/governance platform; likely maintains integrations directory listing BI tools including competitors—strong partnership opportunity.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
9,metaplane.dev,4,True,True,True,True,2312988,335533,0.5785647754484369,data_platform_vendor,integrations_page,Metaplane is a data-observability platform (not BI competitor); likely maintains integrations directory listing BI tools including Omni.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
10,montecarlo.ai,4,True,True,True,True,10217235,4081699,0.571333455322996,data_platform_vendor,integrations_page,Monte Carlo is a data-observability partner (not competitor); their integrations directory is a strong outreach target for BI platform listings.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
11,entrepreneur.com,3,True,False,True,True,648,1187,0.5524165801020386,tech_media_or_blog,content_mention,Established business/tech publication linking to multiple BI platforms; strong authority (rank 648) and editorial credibility for guest content or product mention placement.,Pitch a briefing or story angle; aim for a linked product mention.
12,welcometothejungle.com,3,True,False,True,True,7582,4590,0.5038541500583977,community_or_directory,directory_listing,Welcome to the Jungle is a high-authority job/career platform; likely lists BI tools in tech stack or employer profiles—strong directory listing opportunity.,Submit a complete Omni listing to the directory.
13,vendr.com,3,False,True,True,True,10191,19339,0.4997304964513695,community_or_directory,directory_listing,Vendr is a software procurement directory; likely has open vendor submission or partnership opportunities for BI tools.,Submit a complete Omni listing to the directory.
14,astronomer.io,3,True,True,True,False,23530,48690,0.4893691983498066,data_platform_vendor,integrations_page,Astronomer (orchestration platform) lists BI tools in integrations directory; strong partner opportunity for Omni listing.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
15,rivery.io,3,True,True,True,False,28394,47907,0.4872742850802448,data_platform_vendor,integrations_page,Rivery is an ELT/reverse-ETL partner platform with integrations directory; strong opportunity for Omni listing alongside competitors.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
